날짜,거래량
2016.10.06,165643
2016.10.05,109579
2016.10.04,166824
2016.09.30,178458
2016.09.29,150792
2016.09.28,182244
2016.09.27,128320
2016.09.26,117572
2016.09.23,118280
2016.09.22,150956
2016.09.21,94493
2016.09.20,166300
2016.09.19,173649
2016.09.13,226130
2016.09.12,151442
2016.09.09,133121
2016.09.08,207850
2016.09.07,131298
2016.09.06,177928
2016.09.05,108363
2016.09.02,105596
2016.09.01,158983
2016.08.31,209756
2016.08.30,227027
2016.08.29,220605
2016.08.26,249935
2016.08.25,168140
2016.08.24,109640
2016.08.23,252718
2016.08.22,168867
2016.08.19,379680
2016.08.18,230710
2016.08.17,290161
2016.08.16,265170
2016.08.12,275583
2016.08.11,294458
2016.08.10,483197
2016.08.09,384752
2016.08.08,254215
2016.08.05,295420
2016.08.04,211742
2016.08.03,289057
2016.08.02,242970
2016.08.01,344642
2016.07.29,282567
2016.07.28,171819
2016.07.27,161922
2016.07.26,121910
2016.07.25,196709
2016.07.22,210661
2016.07.21,154898
2016.07.20,179911
2016.07.19,209516
2016.07.18,141754
2016.07.15,232791
2016.07.14,452619
2016.07.13,216831
2016.07.12,282102
2016.07.11,282808
2016.07.08,158201
2016.07.07,190705
2016.07.06,215753
2016.07.05,213196
2016.07.04,293707
2016.07.01,311088
2016.06.30,265951
2016.06.29,249653
2016.06.28,195722
2016.06.27,207588
2016.06.24,526481
2016.06.23,948610
2016.06.22,263796
2016.06.21,266046
2016.06.20,159670
2016.06.17,243660
2016.06.16,242247
2016.06.15,520604
2016.06.14,228636
2016.06.13,304197
2016.06.10,307796
2016.06.09,357847
2016.06.08,380078
2016.06.07,384970
2016.06.03,242312
2016.06.02,226079
2016.06.01,308760
2016.05.31,390069
2016.05.30,357823
2016.05.27,299322
2016.05.26,288076
2016.05.25,366203
2016.05.24,270232
2016.05.23,187935
2016.05.20,227900
2016.05.19,309231
2016.05.18,387413
2016.05.17,233934
2016.05.16,244693
2016.05.13,539271
2016.05.12,349435
2016.05.11,472350
2016.05.10,377772
2016.05.09,238478
2016.05.04,446219
2016.05.03,177274
2016.05.02,299862
2016.04.29,321106
2016.04.28,303550
2016.04.27,244572
2016.04.26,302955
2016.04.25,270931
2016.04.22,273752
2016.04.21,824827
2016.04.20,436093
2016.04.19,934526
2016.04.18,213816
2016.04.15,332154
2016.04.14,729677
2016.04.12,225833
2016.04.11,198016
2016.04.08,216786
2016.04.07,374495
2016.04.06,301377
2016.04.05,266872
2016.04.04,189896
2016.04.01,250951
2016.03.31,284275
2016.03.30,184889
2016.03.29,176264
2016.03.28,152184
2016.03.25,134724
2016.03.24,125008
2016.03.23,201566
2016.03.22,242691
2016.03.21,195987
2016.03.18,249412
2016.03.17,266927
2016.03.16,265818
2016.03.15,309107
2016.03.14,152727
2016.03.11,219541
2016.03.10,400063
2016.03.09,193091
2016.03.08,301719
2016.03.07,248906
2016.03.04,209702
2016.03.03,237789
2016.03.02,367150
2016.02.29,304346
2016.02.26,425682
2016.02.25,705415
2016.02.24,189667
2016.02.23,214400
2016.02.22,182725
2016.02.19,206182
2016.02.18,201073
2016.02.17,211328
2016.02.16,142924
2016.02.15,132931
2016.02.12,304377
2016.02.11,117705
2016.02.05,139807
2016.02.04,257713
2016.02.03,250112
2016.02.02,151328
2016.02.01,139134
2016.01.29,260048
2016.01.28,338578
2016.01.27,157356
2016.01.26,114020
2016.01.25,197861
2016.01.22,281047
2016.01.21,300738
2016.01.20,301248
2016.01.19,571214
2016.01.18,255284
2016.01.15,633346
2016.01.14,312990
2016.01.13,227951
2016.01.12,178618
2016.01.11,305433
2016.01.08,254172
2016.01.07,155764
2016.01.06,416847
2016.01.05,188530
2016.01.04,280607
2015.12.30,238017
2015.12.29,151021
2015.12.28,156811
2015.12.24,148308
2015.12.23,159649
2015.12.22,199737
2015.12.21,221667
2015.12.18,358540
2015.12.17,445725
2015.12.16,274116
2015.12.15,166123
2015.12.14,134663
2015.12.11,280550
2015.12.10,413679
2015.12.09,160489
2015.12.08,169936
2015.12.07,287764
2015.12.04,250780
2015.12.03,171461
2015.12.02,280229
2015.12.01,317086
2015.11.30,317684
2015.11.27,183713
2015.11.26,328200
2015.11.25,427112
2015.11.24,227603
2015.11.23,285070
2015.11.20,252605
2015.11.19,185349
2015.11.18,364095
2015.11.17,328516
2015.11.16,332972
2015.11.13,106850
2015.11.12,134727
2015.11.11,158538
2015.11.10,328079
2015.11.09,184482
2015.11.06,130574
2015.11.05,101645
2015.11.04,216232
2015.11.03,280416
2015.11.02,256907
2015.10.30,258644
2015.10.29,414198
2015.10.28,258174
2015.10.27,287594
2015.10.26,319892
2015.10.23,241938
2015.10.22,325951
2015.10.21,209313
2015.10.20,251327
2015.10.19,204045
2015.10.16,201598
2015.10.15,187730
2015.10.14,294896
2015.10.13,233270
2015.10.12,262416
2015.10.08,483550
2015.10.07,162219
2015.10.06,192086
2015.10.05,176586
2015.10.02,331741
2015.10.01,205013
2015.09.30,272848
2015.09.25,167655
2015.09.24,138118
2015.09.23,227240
2015.09.22,147866
2015.09.21,192356
2015.09.18,243130
2015.09.17,257664
2015.09.16,271345
2015.09.15,167628
2015.09.14,197067
2015.09.11,145924
2015.09.10,235856
2015.09.09,285375
2015.09.08,277246
2015.09.07,145048
2015.09.04,160401
2015.09.03,221424
2015.09.02,336542
2015.09.01,205004
2015.08.31,300244
2015.08.28,345111
2015.08.27,272756
2015.08.26,243049
2015.08.25,298594
2015.08.24,294405
2015.08.21,405323
2015.08.20,249534
2015.08.19,270349
2015.08.18,244333
2015.08.17,293268
2015.08.13,245261
2015.08.12,448172
2015.08.11,234816
2015.08.10,319975
2015.08.07,556836
2015.08.06,225509
2015.08.05,138683
2015.08.04,222478
2015.08.03,230872
2015.07.31,451170
2015.07.30,293671
2015.07.29,331203
2015.07.28,445664
2015.07.27,126271
2015.07.24,221691
2015.07.23,211777
2015.07.22,297736
2015.07.21,277968
2015.07.20,316655
2015.07.17,191208
2015.07.16,222101
2015.07.15,328701
2015.07.14,530488
2015.07.13,1091155
2015.07.10,482920
2015.07.09,483467
2015.07.08,345246
2015.07.07,297988
2015.07.06,257755
2015.07.03,279662
2015.07.02,271135
2015.07.01,542808
2015.06.30,439630
2015.06.29,393395
2015.06.26,391441
2015.06.25,381503
2015.06.24,329068
2015.06.23,199046
2015.06.22,364930
2015.06.19,386381
2015.06.18,399895
2015.06.17,203970
2015.06.16,216604
2015.06.15,182913
2015.06.12,198571
2015.06.11,193911
2015.06.10,195735
2015.06.09,331883
2015.06.08,289254
2015.06.05,222176
2015.06.04,214474
2015.06.03,265090
2015.06.02,294306
2015.06.01,267681
2015.05.29,233584
2015.05.28,178847
2015.05.27,291196
2015.05.26,293168
2015.05.22,427682
2015.05.21,346493
2015.05.20,217087
2015.05.19,434898
2015.05.18,329654
2015.05.15,198504
2015.05.14,107529
2015.05.13,106200
2015.05.12,251157
2015.05.11,244713
2015.05.08,126812
2015.05.07,270253
2015.05.06,229935
2015.05.04,94678
2015.04.30,217445
2015.04.29,293167
2015.04.28,154861
2015.04.27,190508
2015.04.24,331127
2015.04.23,356353
2015.04.22,312955
2015.04.21,501519
2015.04.20,535866
2015.04.17,284815
2015.04.16,299999
2015.04.15,351952
2015.04.14,314407
2015.04.13,485688
2015.04.10,181121
2015.04.09,293530
2015.04.08,484617
2015.04.07,402723
2015.04.06,446800
2015.04.03,172455
2015.04.02,280819
2015.04.01,373104
2015.03.31,220932
2015.03.30,272858
2015.03.27,238926
2015.03.26,209961
2015.03.25,282515
2015.03.24,529214
2015.03.23,425482
2015.03.20,390270
2015.03.19,211299
2015.03.18,169749
2015.03.17,288387
2015.03.16,340070
2015.03.13,261255
2015.03.12,410085
2015.03.11,308255
2015.03.10,285814
2015.03.09,215492
2015.03.06,789566
2015.03.05,204338
2015.03.04,201840
2015.03.03,302129
2015.03.02,558053
2015.02.27,412231
2015.02.26,884106
2015.02.25,225655
2015.02.24,339626
2015.02.23,252555
2015.02.17,191570
2015.02.16,143843
2015.02.13,190377
2015.02.12,223981
2015.02.11,222655
2015.02.10,220209
2015.02.09,215291
2015.02.06,347339
2015.02.05,312664
2015.02.04,281363
2015.02.03,292031
